2017-05-04 09:30:48,322 [Worker-14] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: es.salesianos.edu:Core:1.0.0-SNAPSHOT @ C:\Users\Isabel\Documents\GIT\EDD\Core\pom.xml.
2017-05-04 09:30:48,596 [Worker-14] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: es.salesianos:fp:1.0.0-SNAPSHOT @ C:\Users\Isabel\Documents\GIT\EDD\FP\pom.xml.
2017-05-04 09:30:48,771 [Worker-14] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: es.salesianos.edu:Junit:1.0.0-SNAPSHOT @ C:\Users\Isabel\Documents\GIT\EDD\Junit\pom.xml.
2017-05-04 09:30:51,126 [Worker-14] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Core/src/main/java
2017-05-04 09:30:51,133 [Worker-14] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Core/src/test/java
2017-05-04 09:30:52,663 [Worker-14] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /FP/src/main/java
2017-05-04 09:30:52,665 [Worker-14] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /FP/src/test/java
2017-05-04 09:30:52,873 [Worker-14] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Junit/src/main/java
2017-05-04 09:30:52,875 [Worker-14] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /Junit/src/main/resources
2017-05-04 09:30:52,877 [Worker-14] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Junit/src/test/java
2017-05-04 09:30:53,567 [Worker-14] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 3 project(s) in 8 sec
2017-05-04 09:30:55,991 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-04 09:30:56,006 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Isabel\Documents\GIT\EDD\Core\src\main\resources
2017-05-04 09:30:56,012 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-04 09:30:56,025 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Isabel\Documents\GIT\EDD\Core\src\test\resources
2017-05-04 09:30:56,266 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-04 09:30:56,289 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Isabel\Documents\GIT\EDD\FP\src\main\resources
2017-05-04 09:30:56,293 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-04 09:30:56,307 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Isabel\Documents\GIT\EDD\FP\src\test\resources
2017-05-04 09:30:57,121 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-04 09:30:57,162 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2017-05-04 09:30:57,207 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-04 09:30:57,229 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Isabel\Documents\GIT\EDD\Junit\src\test\resources
2017-05-04 09:32:14,191 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-04 09:32:14,216 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Isabel\Documents\GIT\EDD\Core\src\main\resources
2017-05-04 09:32:14,228 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-04 09:32:14,257 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Isabel\Documents\GIT\EDD\Core\src\test\resources
2017-05-04 09:32:14,276 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
